,favorite_count,retweet_count,sentiment,source,text,user_fav_count,user_follower_count,user_friends_count,user_name,user_screen_name,user_url
612,0,198,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,3326,511,1630,NaMo Namah,shaashtanga,
613,0,0,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[https://t.co/Z7gCYdTkRh] [Punjab Election Results 2017: Why Arvind Kejriwal Lost, According To Navjot Singh Sidhu, Celebrating Victor@",11,7,269,Mohd Jamshed Raza,MohdJamshedRaz1,
614,0,198,neutral,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,8,1,22,Ammini pai,pai_ammini,
615,0,198,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,1261,49,839,Archicool,archicool5,
616,0,2,negative,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AniilkumarAnil: PM Modi and Akhilesh show that in a game of men, there is no place for boys like... https://t.co/uJ4f9Y2Rga by #ToharTa",3139,194,172,Mayank,mayankholani,
617,0,18,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrShobha: PM Modi and Akhilesh show that in a game of men, there is no place for boys like Arvind Kejriwal

https://t.co/LznhimdSvB",14763,331,627,anurag ,anuuragjain,
618,0,81,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @MixedRaita: Almost an Arvind Kejriwal tweet. Kind of surprised at lack of sensitivity and facts coming from you Rahul Raj. Maandir waal,125,162,294,Punkk Nath,Punkkboy,
619,0,0,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ArvindKejriwal  https://t.co/YbOcmcgyEa,62,49,54,Sagar kulkarni,saagaravk,
620,0,52,negative,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FinancialXpress: PM #Modi and #AkhileshYadav show that in game of men, there is no place for boys like #ArvindKejriwal
@narendramodi 
h",1274,132,358,Chetan Patel,chetanpatelRE,
621,0,1,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ManjoteSingh: Arvind Kejriwal makes emotional appeal to AAP volunteers, asks them to gear up for MCD Elections 2017 https://t.co/Vg4Ap",195362,559,147,iksha,jigyasa203,
622,0,10,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AAPInNews: Arvind Kejriwal makes emotional appeal to AAP volunteers, asks them to gear up for MCD Elections 2017

https://t.co/TEKF6wEP",3047,251,99,Royal jatt,amitbagria7877,https://t.co/yCxPMVxJhP
623,0,11,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @facepalm92: Sr Adv Shanti Bhushan for Arvind Kejriwal in the Delhi HC in the defamation case against him by Kapil Sibal's son Amit Siba,10182,35205,19,George Kurian,Georgekurian4K,https://t.co/YaJWJgYLG2
624,0,324,positive,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RT @bharat_builder: Really amusing.

Majority of the well educated youth attack Arvind Kejriwal and defend Adityanath.

Education level in",1191,11,22,Bishaal,V_shalchavan,
625,0,51,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",16010,103,466,Prakash,Pikki74,
626,0,51,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",4897,37,380,Sam Gupta,samguptadilli,
627,0,53,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @AshokGoelBJP: AAP   @ArvindKejriwal      #AAP__ @Punitspeaks @IPraveenDixit    https://t.co/,26,0,15,Rahul Aggarwal,RahulAg13538641,
628,0,52,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Chopdasaab: Hi @shilpitewari Here's a complete list against not Arvind but rest of them too. Its out there in Public Domain. https://t.,223,335,207,Gaurav Parmar,Gauravparmar,
629,0,198,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,2705,261,236, Kotresh,kichakotresh,
630,0,5,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @msrbpl: Arvind Kejriwal makes emotional appeal to AAP volunteers, asks them to gear up for MCD Elections 2017 https://t.co/rwh2ZOp7yI",2801,433,158,ranbirsinghchandila,ranbirchandila,
631,0,10,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AAPInNews: Arvind Kejriwal makes emotional appeal to AAP volunteers, asks them to gear up for MCD Elections 2017

https://t.co/TEKF6wEP",195362,559,147,iksha,jigyasa203,
632,0,18,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrShobha: PM Modi and Akhilesh show that in a game of men, there is no place for boys like Arvind Kejriwal

https://t.co/LznhimdSvB",729,48,136,Mihir Kaslikar,IamMK_27,
633,0,53,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @AshokGoelBJP: AAP   @ArvindKejriwal      #AAP__ @Punitspeaks @IPraveenDixit    https://t.co/,26,0,22,Rahul Aggarwal,RahulAg83200720,
634,0,198,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,37,26,2,Predictivesciences,haridaskc,
635,0,198,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,3261,307,824,ANURAG ARORA,anu20k,https://t.co/hFI6yIO8gk
636,0,3,neutral,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @namitsaxena2007: Sr Adv Shanti Bhushan appeared for Arvind Kejriwal in the Delhi HC in the defamation case by Amit Sibal. No permanent,25475,107,470,undertaker,abhigit1,
637,0,0,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@sharadsharma1 bhai tu arvind kejriwal ke side wala reporter hai na ...,1608,91,473,Saurabh,teri_to1,
638,0,198,neutral,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,12146,1449,158,"Haridas KC, PhD,FIII",haridasdr,
639,0,52,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Chopdasaab: Hi @shilpitewari Here's a complete list against not Arvind but rest of them too. Its out there in Public Domain. https://t.,30220,12198,152,King in the North,King_in_d_north,https://t.co/IVILvegiEi
640,0,51,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",411,142,31,Dr. Vishal Agarwal,vish_chem,
641,0,324,positive,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @bharat_builder: Really amusing.

Majority of the well educated youth attack Arvind Kejriwal and defend Adityanath.

Education level in",12108,208,705,#ChangeIsNear,Yogi_sanju,
642,0,52,positive,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Chopdasaab: Hi @shilpitewari Here's a complete list against not Arvind but rest of them too. Its out there in Public Domain. https://t.,23219,485,797,Vishal Madhukar,vicky20680,
643,0,23,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndiaBTL: PM Modi &amp; Akhilesh show that in a game of men, there's no place for boys like Kejriwal https://t.co/5TNjyKKVck
Do read Kejri'",1599,91,128,Vivek Prabhakar,Vivek_P72,
644,0,132,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amritabhinder: PM Modi and Akhilesh show that in a game of men, there is no place for boys like Arvind Kejriwal https://t.co/6mIwdTA6Tu",93639,831,3162,Harish M,SupremeHarish,https://t.co/kK46ODd7qe
645,0,198,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @rishibagree: Arvind kejriwal is personally verifying UP CM Maths BSc Degree https://t.co/zaxYl7kNt9,1766,523,893,Ashish K R Joshi,SAAVYFINANCE,
646,0,0,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@narendrapjoshi do that for Arvind Kejriwal, Siddu, pappu akhilass",5385,554,1937,Keshav Ashwin Kumar,Iamashwinallari,
647,0,51,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",113072,809,1651,Abdul Hameed Khan,M_AHKhan,
648,0,0,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@TrollHaiklu Please treat Arvind Kejriwal too...,2,7,99,Shashank,shaz610,
649,0,52,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FinancialXpress: PM #Modi and #AkhileshYadav show that in game of men, there is no place for boys like #ArvindKejriwal
@narendramodi 
h",4,5,121,Neeraj Y,NeerajY9,
650,0,0,positive,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",Arvind Kejriwal reminds of those school going teenagers who keep posting about their life problems on social... https://t.co/cPJ2spRlNz,6,227,38,Nishant Khanduri,nishantkhanduri,
651,0,53,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @AshokGoelBJP: AAP   @ArvindKejriwal      #AAP__ @Punitspeaks @IPraveenDixit    https://t.co/,95,551,486,Neeraj Sharma,NeerazKumar,https://t.co/WoK3D99WUM
652,0,52,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FinancialXpress: PM #Modi and #AkhileshYadav show that in game of men, there is no place for boys like #ArvindKejriwal
@narendramodi 
h",15365,264,150,Ankit Aneja,Ankitaneja2,
653,0,52,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Chopdasaab: Hi @shilpitewari Here's a complete list against not Arvind but rest of them too. Its out there in Public Domain. https://t.,5177,54,175,kya be,a_bhattacharjee,
654,0,10,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AAPInNews: Arvind Kejriwal makes emotional appeal to AAP volunteers, asks them to gear up for MCD Elections 2017

https://t.co/TEKF6wEP",5499,37,156,Lohit,Lohit93262052,
655,0,53,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @AshokGoelBJP: AAP   @ArvindKejriwal      #AAP__ @Punitspeaks @IPraveenDixit    https://t.co/,15,0,84,Aap Ka Dushman,dushman_aap,
656,0,51,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",5499,37,156,Lohit,Lohit93262052,
657,0,51,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",4658,78,463,Renju Joseph,renjjo,
658,0,409,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Ankita_Shah8: Majority of the well educated people attack Arvind Kejriwal and defend Adityanath.

Education level in India is horrible",5204,511,243, ,ChandreshSindal,
659,0,13,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @HasnaZarooriHai: First Arvind Kejriwal as CM of Delhi.
Then Donald Trump as President of US.
And Now Yogi Adityanath as CM of UP.
God b",11136,3108,3277,Mackker,mmackker,
660,0,41,negative,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @sush091979: PM Modi and Akhilesh show that in a game of men, there is no place for boys like ArvindKejriwal https://t.co/e5xLdABtbM",290,728,765,Mahendra Sonaje,hrishicom,http://t.co/krGdo1x0bS
